title,year,genres,budget,worldwide_gross,domestic_gross,opening_weekend
"Avengers: Endgame",2019,"Action,Adventure,Sci-Fi",356000000,2797501328,858373000,357115007
"Avatar",2009,"Action,Adventure,Fantasy",237000000,2923706026,785221649,77025481
"Avatar: The Way of Water",2022,"Action,Adventure,Fantasy",350000000,2320250281,684075767,134100000
"Titanic",1997,"Drama,Romance",200000000,2264743305,674292608,28638131
"Spider-Man: No Way Home",2021,"Action,Adventure,Fantasy",200000000,1921847111,804793477,260138569
"Jurassic World",2015,"Action,Adventure,Sci-Fi",150000000,1671537444,652270625,208806270
"The Lion King",2019,"Adventure,Animation,Drama",250000000,1656943394,543638043,191770759
"The Avengers",2012,"Action,Adventure,Sci-Fi",220000000,1518812988,623357910,207438708
"Furious 7",2015,"Action,Adventure,Thriller",190000000,1515341399,353007020,147187040
"Avengers: Infinity War",2018,"Action,Adventure,Sci-Fi",316000000,2048359754,678815482,257698183
"Frozen II",2019,"Animation,Adventure,Comedy",150000000,1450026933,477373578,130263358
"Top Gun: Maverick",2022,"Action,Drama",170000000,1495696292,718732821,160500000
"Barbie",2023,"Adventure,Comedy,Fantasy",145000000,1441831086,636238421,162022044
"Harry Potter and the Deathly Hallows Part 2",2011,"Adventure,Drama,Fantasy",125000000,1342359942,381011219,169189427
"Black Panther",2018,"Action,Adventure,Sci-Fi",200000000,1347280838,700426566,202003951
"Star Wars: The Force Awakens",2015,"Action,Adventure,Fantasy",245000000,2071310218,936662225,247966675
"Avengers: Age of Ultron",2015,"Action,Adventure,Sci-Fi",365000000,1402809540,459005868,191271109
"Frozen",2013,"Animation,Adventure,Comedy",150000000,1281508100,400953009,67391326
"Beauty and the Beast",2017,"Family,Fantasy,Musical",160000000,1263521126,504014165,174750616
"Incredibles 2",2018,"Animation,Action,Adventure",200000000,1242805359,608581744,182687905
"The Dark Knight",2008,"Action,Crime,Drama",185000000,1004558444,533316061,158411483
"Joker",2019,"Crime,Drama,Thriller",55000000,1074251311,335451311,96202337
"Toy Story 4",2019,"Animation,Adventure,Comedy",175000000,1073394593,434038008,120908065
"Toy Story 3",2010,"Animation,Adventure,Comedy",200000000,1066969703,415004880,110307189
"Captain Marvel",2019,"Action,Adventure,Sci-Fi",175000000,1128274794,426829839,153433423
"Aquaman",2018,"Action,Adventure,Fantasy",160000000,1148485886,335061807,67873522
"The Dark Knight Rises",2012,"Action,Thriller",250000000,1081002274,448139099,160887295
"Oppenheimer",2023,"Biography,Drama,History",100000000,952000000,329862507,82460030
"Spider-Man: Far From Home",2019,"Action,Adventure,Sci-Fi",160000000,1131927996,390532085,92579212
"Finding Dory",2016,"Animation,Adventure,Comedy",175000000,1028570889,486295561,135060273
"Zootopia",2016,"Animation,Adventure,Comedy",150000000,1023784195,341268248,75063401
"Rogue One: A Star Wars Story",2016,"Action,Adventure,Fantasy",200000000,1056057273,532177324,155081681
"Guardians of the Galaxy Vol. 2",2017,"Action,Adventure,Comedy",200000000,863756051,389813101,146510104
"Guardians of the Galaxy Vol. 3",2023,"Action,Adventure,Comedy",250000000,845555777,358995815,118414428
"Inside Out",2015,"Animation,Adventure,Comedy",175000000,857611174,356461711,90440272
"Inside Out 2",2024,"Animation,Adventure,Comedy",200000000,1699106762,652979930,154200000
